menu_start_game_0|Welcome to Viking Conquest.
mno_appoint_npc16|Mianuj osobę o imieniu {s10}
mno_appoint_default|Mianuj wpływowego obywatela z regionu...
menu_minister_confirm|{s9}rezyduje na twoim dworze w miejscu o nazwie {s12}. Konsultuj się z nim regularnie, by uniknąć kumulacji nierozwiązanych spraw, ponieważ może to podkopać twoją pozycję...
menu_notification_court_lost|{s12}
menu_notification_player_faction_deactive|Twoje królestwo nie posiada już żadnych ziem.
menu_notification_player_wedding_day|{s8}  pragnie poinformować, że przygotowania do twojego ślubu, który odbędzie się w {s10} zostały ukończone i z niecierpliwością oczekują twojej osoby.
menu_notification_player_kingdom_holds_feast|{s11}
menu_notification_center_under_siege|{s1} jest oblegane przez {s2} ({s3})!^^Osada jest oblegana i otoczona, jej obrońcy są uzbrojeni w zwykłe narzędzia i kamienie, mają nadzieję że ud im się odeprzeć wroga.
menu_notification_village_raided|Wróg zniszczył lenno!^^{s2} ({s3})  najechał {s1}!
menu_notification_village_raid_started|Twoja wioska jest atakowana!^^{s2} ({s3}) is laying waste to {s1}.
menu_notification_one_faction_left|Północ podbita przez jedno królestwo^^{s1} pokonało wszystkich rywali i pozostało jednynym królestwem.^^Zostajesz Brytenwaldą!
menu_notification_oath_renounced_faction_defeated|Twoja stara frakcja została pokonana^^Zwyciężasz w bitwie przeciwko {s1}! W ten sposób kończy się konflikt, który rozpoczął się po złożeniu im przysięgi wierności.
menu_notification_center_lost|Majątek został utracony!^^{s1} odbiera ci {s2}.
menu_notification_troop_left_players_faction|Zdrada!^^{s1} opuścił {s2} i dołączył do {s3}.
menu_notification_troop_joined_players_faction|Dobre wieści!^^{s1} opuścił {s2} i dołączył do {s3}.
menu_notification_war_declared|Deklaracja wojny!^^{s1} wypowiada wojnę państwu o nazwie  {s2}!^{s57}^^.
menu_notification_peace_declared|Traktat pokojowy^^{s1} i {s2}  zawarli pokój!^{s57}^^Te dwa narody przestały walczyć.Być może to tylko tymczasowy rozejm i któreś z nich bierze się za przygotowania do kolejnej wojny, ale może byc to również szczera deklaracja trwałego pokoju.
menu_notification_alliance_declared|Powstanie sojuszu^^{s1} i {s2} tworzą teraz sojusz!^{s57}^^Oba królestwa połączyły swój los, a to z pewnością uczyni je silniejszymi.
menu_notification_alliance_offer|{s1} proponuje ci sojusz. Jaka jest twoja odpowiedź?
mno_offer_accept|Zaakceptuj
mno_offer_reject|Odmów
menu_notification_faction_defeated|Frakcja wyeliminowana^^{s1} przestało istnieć!
menu_notification_rebels_switched_to_faction|Sukces rebelii!^^Rebelia zakończyła się sukcesem!{s12} zasiądzie na tronie, jako jedyny i prawity władca. Od dziś {s11} ma nowego przywódcę..
menu_notification_player_should_consult|Twój minister przesyła wiadomość o problemach w królestwie, których zaniedbanie może poważnie podkopać twoją pozycję. Skontaktuj się z nim jak najszybciej.
menu_banquete_moral|Rozkaż swoim ludziom by odłożyli broń i dołączyli do ciebie w Wielkiej Sali, siadając przy stole wedle należnego stopnia. Najbiżsi i najważniejsi siedzą blisko ciebie.^ Służki podają na stół mnóstwo miodu i mięsiwa. Wydałeś na to mnóstwo pieniędzy , ale twoi ludzie na to zasłużyli.^ Wszyscy przelewali swoją krew, by pomóc ci w twych podbojach. Są twymi wiernymi towarzyszami.^ Uczta trwa. Wielu leży pijanych pod stołem, inni krzyczą i śpiewają. Niektórzy biegną się wyrzygać, a inni walczą ze sobą jak koguty by zdobyć uwagę kobiet.^ Za tobą bard opiewa w pieśni twoje czyny. Czujesz się jak lord, jesteś lordem, ,,Pasterzem'' tych ludzi.
mno_banquete_ok|Pijesz, śmiejesz się i krzyczysz wraz z kompanami.
mno_banquete_ok2|Pozostajesz trzeźwy , smakując trunku nie więcej niż to konieczne.
menu_comprar_cattle2|Każda z {reg5} sztuk bydła kosztuje {reg6} peningów. Jak wiele chcesz kupić?
mno_cattle_ok|Jedną.
mno_cattle_ok2|Pięć.
mno_cattle_ok3|Żadnej.
menu_notification_player_feast_in_progress|Przygotowania do uczty^^Twoja żona rozpoczęła przygotowania do uczty, która odbędzie się w twojej posiadłości w  {s11}.
menu_notification_lady_requests_visit|Wiekowa kobieta zbliża się do twojej drużyny i przekazuje jednemu z twoich ludzi zapieczętowany gładkim woskiem list. Jest zaadresowany do ciebie. Po otwarciu koperty, okazuje się, że przysyła go {s15}. Treść listu brzmi ,,Twoja ostatnia wizyta bardzo mi się podobała''. {s14} Przebywam obecnie w miejscowości o nazwie {s10}.{s12}'
menu_garden|{s12}
mno_nurse|Zaczekaj przy strumieniu.
menu_kill_local_merchant_begin|Zauważasz swoją ofiarę i podążasz za nią, obserwując, jak skręca w ciemną alejkę. To z pewnością będzie najlepsza okazja do ataku.
menu_debug_alert_from_s65|INFORMACJA DEBUGERA: {s65}
menu_auto_return_to_map|stub(fragment kodu)
menu_bandit_lair|{s3}
mno_continue_1|Zaatakuj kryjówkę...
mno_trade_withbandits|Handluj z bandytami.
mno_leave_no_attack|Odejdź...
mno_leave_victory|Kontynuuj..
mno_leave_defeat|Kontynuuj...
menu_notification_player_faction_political_issue_resolved|Po naradzie z możnymi królestwa, {s10} postanowił przyznać {s11} osobie o imieniu {s12}.
menu_notification_player_faction_political_issue_resolved_for_player|Po naradzie z możnymi królestwa, {s10} postanowił przyznać {s11} tobie. Możesz odmówić przyjęcia tego zaszczytu, ale może to oznaczać, że przez jakiś czas nie będziesz otrzymywać innych nagród.{s12}
mno_accept|Przyjmij zaszczyt.
mno_decline|Odmów przyjęcia zaszczytu.
menu_start_phase_3|{s1}
menu_start_phase_4|{s11}
menu_lost_tavern_duel|{s11}
menu_establish_court|Jeśli {s4} ma być twoim dworem, wymaga pewnego odnowienia. Przydadzą ci się narzędzia i trochę srebra. Przeniesienie tu twych popleczników również może chwilę zająć. Czy chcesz kontynuować?
mno_establish|{s4} jest twoją główną siedzibą.
menu_notification_relieved_as_marshal|{s4} pragnie cię poinformować, że nie musisz już służyć jako marszałek. Aby uhonorować twe działania w imieniu królestwa w ciągu ostatnich {reg4} dni, {reg8?Ona:On} nagradza cię nagrodą wysokości {reg5} peningów.
menu_monasterio_visit|Dojeżdżasz do klasztoru.To rozległy ośrodek w ktorym znajdują się kościól, duże ogrody oraz ferma zwierząt. To miesce na pewno jest bogate w kosztowności!^^{s13}
mno_enter_interior|Odwiedź opata.
mno_enter_interior_door|Do opata.
mno_monasterio_recruit|Spytaj czy ktoś chce do ciebie dołączyć.
mno_donate|Módl się i złóż ofiarę klasztorowi (500 peningów).
mno_aprender_leer|Naucz się czytać (4000 peningów).
mno_convertir|Nawróć się na chrześcijaństwo.
mno_pillage_monastery|Splądrój klasztor.
menu_saquear_monasterio|Krew i skarby. Ci z twoich ludzi którzy mieli skrupuły poszli w kierunku {s3}, nie zabijając nikogo po drodze i plądrując ich dobra. Nieokiełznany ogień i śmierć szaleją w tym miejscu. Zagarnełeś łupy wojenne o wartości {reg3} peningów.^^{s7}^^{s4}^
menu_refugee_recruit_troops12|Niektóre wdowy i sieroty są zainteresowane dołączeniem do ciebie i rozpoczęciem nowego życia jako twoi żołnierze.
mno_acept_them|Przyjmij ich (20 peningów)
menu_refugee_recruit_troops22|Nikt nie chce do ciebie dołączyć.
menu_refugee_recruit_troops32|Niektórzy pasterze i farmerzy są zainteresowani dołączeniem do twojej armii.
menu_refugee_recruit_troops42|Niektórzy kapłani i młodzi wojownicy są zainteresowani dołączeniem do twojej armii.
menu_panel_comandante|Przed rozpoczęciem bitwy...
mno_choice_1|Tchnij ducha walki w swoich ludzi porywającą przemową.
mno_choice_2|Wyzwij swojego przeciwnika do honorowego pojedynku.
mno_choice_3|Harcownicy: Wyśli swoich ludzi by utrudnili przeprawę wroga.
mno_choice_4|Złóż ofiarę bogom.
mno_choice_5|Nic nie rób.
menu_escaramuza_1|Panie, wrogi dowódca przewyższa cię taktycznymi umiejętnościami. Nie byliśmi przygotowani na niespodziewany atak wrogich strzelców. Ponieśliśmy liczne ofiary.^^Twoje straty: {s8}
mno_defendiendo_1|Szlag by to!
menu_escaramuza_2|Nasi ludzie zajeli dogodne pozycje i zamkneli wroga w potrzasku, czyniąc w jego szeregach liczne straty.^^Straty nieprzyjaciela: {s9}
mno_defendiendo_2|Doskonale.
menu_escaramuza_3|Widząc przeprawę wroga, twoi ludzie dostrzegli, że wrogi dowódca wysłał oddział strzelców by zapewnić bezpieczeństwo przeprawie swoich ludzi. By uniknąć strat twoi ludzie powrócili do obozu nie atakując ich.
mno_defendiendo_3|Dobrze.
menu_lucha_2_no|Wygląda na to, że nikt nie chce się pojedynkować.
mno_defendiendo_4|Wróć.
menu_lucha_1_d|Wrogi wojownik idzie w twoją stronę zatrzymując się w odległości rzutu kamieniem, ściąga bukłak z jagnięcej skóry wypełniony miodem i rzuca go na ziemię. Widzisz że rozgrzewa mięśnie. Ściąga swój płaszcz oraz swoje szaty i staje przed tobą uzbrojony jedynie we włócznię i tarczę. Jest ich mistrzem i wyzywa twoich ludzi do walki z nim.^^Nim zdążyłeś odpowiedzieć, spośród twoich szeregów wyłania się młodzieniec. Nie jest najbardziej zaprawionym wojownikiem spośród twoich żołnierzy, ale z pewnością jest odważny.^^Twój wojownik staje twarzą w twarz z przeciwnikiem. Okrążają się nawzajem, próbując znaleźć luki w obronie. Twój wojownik nie opar się napięciu i pchnął włócznią opuszczając tarczę. Wrogi wojownik wykorzystał okazję i zatopił włócznię w sercu chłopaka...^^Przegrałeś ten pojedynek.
mno_defendiendo_5|Wróć.
menu_lucha_2_v|Jeden z twoich ludzi wyłamuje się z szeregu by pobiec w kierunku wroga, następnie ściąga spodnie i pokazuje mu tyłek. Wściekły wrogi mistrz wychodzi mu naprzeciw, i rzuca w jego kierunku oszczepem. Oszczep wbija się w ziemię pare metrów od twojego wojownika. Wróg wyciąga swój miecz i z rykiem biegnie w jego stronę.^^Twój wojownik przygotowując się szybko, staje naprzeciw trzymając pewnie włócznię w swych dłoniach. Twój wojownik okazał się lepszy w walce, raniąc przeciwnika jako pierwszy.^^Pierwsza krew została rozlana, a następne co widzisz to, że twój wojownik wbija włócznię w rozwarte usta przeciwnika. Twój mistrz łapiąc oddech krzyczy do twoich ludzi: 'Próbował wziąść do ust zbyt duży kęs!'^^Wygrywasz ten pojedynek.
mno_defendiendo_6|Wróć.
menu_lucha_1_p|Wrogi dowódca wychodzi naprzeciw swoich oddziałów i wyzywa cię na pojedynek.
mno_defendiendo_7|Zaakceptuj.
mno_defendiendo_8|Wróć.
menu_sacrificio_off|Bogowie pozostają głusi na twoje ofiary i modlitwy.
mno_sacri_1|Wróć.
menu_sacrificio_1|Wnętrzności zabitych zwierząt są pełne robaków: to zły znak.^^Może nie powinieneś dzisiaj walczyć.
menu_sacrificio_2|Patrząc na krew zabitych zwierząt, jeden z twoich ludzi wskazuje punkt na horyzoncie gdzie orzeł leci trzymając w swych szponach węża. To z pewnością dobry znak.^^Nadszedł czas by zaatakować wroga.
menu_sacrificio_3|Gdy zatapiasz nóż ofiarny w szyji zwierzęcia, to ucieka ci z rąk i ucieka w stronę przeciwnika . To na pewno zły znak.^^Może nie powinieneś dzisiaj walczyć.
menu_sacrificio_4|Grzebiąc w jelitach zabitego zwierzęcia znajdujesz srebrny pierścień. To z pewnością dobry znak.^^Jesteś gotowy do walki.
menu_discurso_off|Przestępujesz z nogi na nogę starając się nie wyglądać protekcjonalnie co nie jest przekonujące. Twoje nerwy zdradzają to czego nie da się wyrazić słowami.
menu_discurso_1|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili :^^'Kiedy przystojni męższczyźni i piękne kobiety z waszych wiosek spytają was skąd macie te blizny powiedzcie im, że walczyliście pod dowództwem nawiększego wojownika, w najlepszej armii jaką widziano w Brytannii i Hibernii!'
menu_discurso_2|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Kiedy przystojni męższczyźni i piękne kobiety z waszych wiosek spytają was skąd macie te blizny powiedzcie im, że walczyliście pod dowództwem nawiększego wojownika, w najlepszej armii jaką widziano w Brytannii i Hibernii!'
menu_discurso_3|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'I pomyśleć teraz, że gdzieś po drugiej stronie Brytanii tchórze i starcy pasą kozy, i w pocie czoła uprawiają ziemię nic z tego nie mając! Ale tutaj stoją wolni ludzie! Nasze życie dopiero się zaczyna, jesteśmy gotowi przelewać za nie krew i pot! Spytacie za co?! Za honor! Za chwałę! Za bogactwo!'
menu_discurso_4|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Przebyliśmy tę krainę wzdłuż i wszerz, a naszym przeznaczeniem było trafić na to pole bitwy! Jeszcze długo po tym jak nasze życia przeminą , bardowie będą opiewać w pieśniach nasze imiona! Będą śpiewać pieśni o największej bitwie na tych ziemiach!'
menu_discurso_5|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Bracia! Raz się rodzimy i raz stajemy się mężczyznami! Wczoraj maszerowaliśmy, dzisiaj walczymy! Dziś rozlejemy krew naszych wrogów i doprowadzimy ich do ruiny! Każdy dzień waszego życia prowadził do tej chwili! Dziś będziemy walczyć jak bracia! Dziś wspólnie zjemy wieczerze przy stole naszego wroga!'
menu_discurso_6|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Bracia! Oto maszerowaliście przez wiele dni, a wasza nagroda już na was czeka! Nagroda którą jest chwała po pokonaniu waszego wroga! Teraz idźcie! Wypełnijcie swoje przeznaczenie! Odbierzcie swoją nagrodę! Walczcie! Walczcie! Walczcie!'
menu_discurso_7|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Przyjaciele! Wysłuchajcie mnie! Dziś jest dzień w którym napiszemy w naszych sercach pieść krwią naszych wrogów! Jesteśmy wolnymi ludźmi! Nikt nie ma prawa napadać na nasze ziemie! Armia przed nami jest wielka, ale oni nie walczą o swoje domy, ale niszczą wasze! Dziś położymy temu kres! Przygotujcie swe włócznie! Trzymajcie mocno i nie puszczajcie! Walczcie tak by żaden z tych tchórzy nie odebrał wam chwały i ziemii! Zgińcie jeśli taka wola bogów , ale zawsze walczcie do końca! Nigdy się nie poddawajcie! Nigdy! Nigdy! Nigdy!'
menu_discurso_8|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Ludzie! Stajemy dziś przed naszym wrogiem gotowi do bitwy! Chwyćcie za swe miecze! Chwyćcie za swe tarcze! Mur tarcz jest naszym domem, więc przywitajmy w nim naszego wroga! Niech przyjdzie! Niech mur tarcz stanie się barierą między nimi, a wami! Wszystko czego potrzebujecie to wasze silne serca i ramiona! Jako mur tarcz stajemy się jednym moi bracia! Wiem, że w waszych piersiach płonie ogień tak jasny, że tworzy ścianę chroniącą was przez wrogiem! Naszym przeznaczeniem jest chwała! Nikt nam jej nie odbierze!'
menu_discurso_9|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Dalej ludzie! Chodźmy zmierzyć się przeznaczeniem czekającym nas na polu bitwy! Te psy nigdy nie złamią naszego muru tarcz! Urządźmy im rzeź! Dziś każdy stanie się bohaterem!'
menu_discurso_10|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Pamiętajcie o swych żonach i dzieciach! Pamiętajcie o swych domach i przodkach! Pamiętajcie o swoich bogach i o wszystkich dla których dzisiaj walczymy! Jesteśmy tu dziś by zbudować lepszy świat! Ludzie stojący przed nami wiedzą o tym i boją się naszej determinacji! Boją się tak bardzo, że szczają ze strachu i nie są w stanie utrzymać włóczni w dłoniach! Ludzie! Jestem z wami,swoim mieczem i tarczą, krwawiąc i pocąc się! Jestem dumny, że stoje ramię w ramię z takimi tytanami! Bracia! Nasze przeznaczenie na nas czeka! Czas je wypełnić!'
menu_discurso_11|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Odejdźmy z tego płonącego miejsca na otwartą przestrzeń i stawmy czoła naszemu wrogowi! Ci którzy umrą niechaj trafią przed oblicze bogów! A imiona tych którzy przeżyją będą sławione po wsze czasy! Pójdę pierwszy, a wy chodźcie za mną ! Klnę się na bogów przyjaciele, że nigdy was nie opuszcze!'.
menu_discurso_12|Przechadzasz się pomiędzy swoimi żołnierzami.Spoglądając im głęboko w oczy wypowiadasz słowa mające oddać podniosłość tej chwili:^^'Nasz wróg jest jest niczym zachodzące słońce skąpane ciemniejącej toni nocy, ale my błyszczymy niczym promienie słońca pierwszego dnia wiosny! Wiem, że czujecie strach i niepokój, ale jest on niczym w porównaniu z tym co czują nasi wrogowie! Są niczym liście zerwane podmuchem jesiennego wiatru, a my niczym szalejąca burza niszcząca wszystko po drodze! Chwyćcie za swe włócznie! Będziemy niczym grom obalający drzewo w czasie burzy! To nasza ziemia! Te lasy, te wzgórza i te pola należą do nas! I nigdy się to nie zmieni! '
menu_doccinga_messenger|Zbliża się rolnik popędzając nędznego muła. Zatrzymuje się przed tobą, nabiera tchu i krzyczy,^^'Sven Bycza Szyja przybył do Doccinga z trzema okrętami! Thonkrik wysłał mnie bym cię ostrzegł. {s4} nie przybędzie; opuściło nas szczęście!^Przekażę wieści innym jarlom, ale to Duńczycy i pewnie nie będą się przejmowali Fryzyjczykami. Proszę, potrzebujemy twojej pomocy. Ocal naszych ludzi!'^^Rolnik kopnął muła i odjechał. Jego desperackie słowa ,,Ocal naszych ludzi'' odbijają się echem w twojej głowie.
mno_choice_01_1|Kontynuuj
menu_doccinga_messenger2|Zbliża się posłaniec. Zatrzymuje się przed tobą, nabiera tchu i krzyczy:^^'Thonkrik oczekuje {playername} w Doccinga. Pojmał Svena Byczą Szyję pokonawszy go w bitwie.^Sądzi, że będziesz zainteresowany przesłuchaniem go i prosi cię byś przybył tak szybko jak to możliwe. Thonkrik nie wie jak długo będzie mógł go przetrzymywać zanim król lub jarl się o niego nie upomni.'
menu_doccinga_c_assault|Stojąc na wzgórzy w pobliżu Doccinga widzisz uciekających mieszkańców. Co odważniejsi wraz z ludźmi króla próbują utworzyć mur tarcz, gotowi bronić swojego dobytku lub w najgorszym razie odwrotu swoich najbliższych^^Daleko na morzu da się wyróżnić trzy okręty Wikingów. Nie widzisz z tak daleka, ale nie trudno jest sobie wyobrazić, że są pełne wojowników.^^Twój umysł nie jest w stanie sobie poradzić ze wspomnieniami, gdy Sven Bycza Szyja zatopił twój okręt. Teraz, nareszcie ten wielki wiking jest znów w twoim zasięgu.^^W Doccinga dostrzegasz samotnego człowieka. Wygląda jak wojownik. Widząc cie biegnie w twoim kierunku...
mno_choice_01_1d|Rusz wspomóc Doccinga i spotkaj się z wojownikiem.
mno_choice_doccinga|Musisz zwerbować więcej ludzi.
mno_encounter_save|Wrócę tu później. Doccinga może poczekać.
menu_doccinga_c_assaultnoche|Jest późna noc, twoi ludzie potrzebują odpoczynku. Wróć tu o poranku.
mno_choice_01_3d|Kontynuuj.
menu_noaccessallowed|Having too many men in your party will cause people to fear that you plan to attack. You may wish to put some men in camp quarters for now.
menu_doccinga_c_assault2|W miarę jak zbliżasz się do Doccinga mijasz coraz więcej uchodźców . Są obładowani dobytkiem i ciagną za sobą ciężkie wozy przez co poruszają się bardzo wolno. Jeśli nie powstrzymasz wikingów na plaży wszyscy uchodźcy zginą od ich mieczy.
mno_choice_01_1e|Wejdź do Doccinga.
menu_doccinga_victory|Jesteś skąpany we krwi od stóp do głów. Wokół ciebie jest jedynie śmierć, a twoje uszy wypełniają jęki konających.^^Wikingowie, rozbici i pokonani wracają na swe okręty, zostawiając wielu rannych i zabitych, ponieśli wielkie straty.^^Svena Byczej Szyji nie było wśród napastników co zaskakuje, gdyż statki były jego. Gdzie jest twój znienawidzony wróg?^^Słowa Thonkrika pobrzmiewają w twojej głowie. Być może to pora byś odwiedził jarla Kennemer. Może będzie mieć dla ciebie jakieś wyjaśnienia.
menu_frisa_proscrito|Po czasie spędzonym u jarla Kennemer opuszczasz Doccinga. Teraz jesteś poszukiwanym bandytą we Fryzjii.
mno_choice_01_1a|Kontynuuj
menu_thiaderd_muerto|Walka była ciężka.Ludzie Thiaderda walczyli jak lwy, ale twoim ludziom udało się ich pokonać.^^Ciało Thiaderda leży wśród ciał jego wojowników. Wykonałeś swoją część; wszystko co zostało z obozu Thiaderda znajduje się przed tobą.
menu_thiaderd_battle|Bitwa jest nieunikniona. Thiaderd jest wściekły widząc Reginharda i rozkazuje swoim ludziom zaatakować.
menu_camp_thiaderd|{s5}
mno_talk_to_thiaderd|Porozmawiaj z nim.
mno_kill_thiader_fam|Zabij ich wszystkich, spal ich obóz i zabierz tyle kosztowności ile tylko możesz.
mno_loot_thiader_fam|Splądruj kryjówkę, ale oszczędź mieszkańców.
mno_no_kill_thiader_f|Nie jesteśmy mordercami! Zostawmy ich w spokoju.
mno_choice_farm|Musisz zwerbować więcej ludzi.
mno_encounter_savefarm|Odejdź.
menu_frisa_beach|Czujesz morską bryzę na swej twarzy. Słyszysz zawodzenie mew i wyraźny zapach morskiej soli. W oddali rozróżniasz sylwetki łodzi które przybiły do ukrytej plaży. Jest tam statek o którym mówił Thonkrik... twój statek.
menu_sven_lair|Dobijając do brzegu rzeki dostrzegasz twierdzę Wikingów. Znalazłeś kryjówkę Svena!^To miejsce z małym portem dla okrętów, które w razie potrzeby można łatwo obronić. Za murami, pomiędzy domami dostrzegasz wojowników. Nie dostrzegasz wszystkich, ale wydaje ci się, że jest ich tu kilkudziesięciu.^Wewnątrz fortu dostrzegasz więźniów przygotowywanych do sprzedaży, czy twoja matka jest wśród nich?
mno_talk_to_fort_leader|Poproś o spotkanie z przywódcą fortu.
mno_enter_to_buy_prisoners|Wejdź do fortu i kup więźniów.
mno_initial_attack|Zaatakuj z zaskoczenia.
mno_nosurprise_attack|Zaatakuj otwarcie!
mno_conquestsl_attack0|Ludzie Svena dostrzegają moich ludzi. Musze wrócić później.
mno_conquestsl_attack|Podbij kryjówkę Svena!
mno_choice_fort|Musisz zwerbować więcej ludzi.
mno_encounter_savefort|Odejdź.
menu_sven_lair_comprado|Zostawiasz za sobą kryjówkę Svena Byczej Szyji. Decydujesz się osiągnąc swoje cele poprzez dyplomację nie ponosząc strat wśród twoich ludzi.^^Teraz w twojej drużynie jest twój stary przyjaciel, Kantabrian Bodo. Po wyjściu z kryjówki Svena prosi cię o rozmowę. Chce ci opowiedzieć co stało się po ataku Svena na Woden Ric.
mno_talk_to_bodo|Porozmawiaj z Bodo.
menu_svenlair_victory|Po ciężkim boju twoim ludziom udaje się pokonać wikingów broniących kryjówki, w jednym z domów znajdujesz trzech więźniów: dwie kobiety i męższczyznę. Kobiety są ci nieznane, być może wikingowie porwali je w czasie swoich najazdów, natomiast męższczyzna ma na imię Bodo, podróżował z Kantabrii na pokładzie Woden Ric.^^Bodo dołącza do twojej drużyny. Twój stary przyjaciel powrócił. Prosi cię o rozmowę. Chce ci opowiedzieć co stało się po ataku Svena na Woden Ric. Ale najpierw musisz zdecydować co zrobić z kryjówką Svena.
mno_take_it|To dobre miejsce, rozkażę swoich ludziom je oczyścić, a sam porozmawiam z Bodo
mno_destroy_it|Bah, rozkażę swoim ludziom splądrować i zniszczyć to miejsce, a sam porozmawiam z Bodo.
menu_sven_lair_final|Los z ciebie zadrwił. Najpierw wszystko wskazywało na to, że twoja matka nie żyje. Postanowiłeś wtedy przetrwać by dokonać zemsty: znaleźć Svena Byczą Szyję i zabić go. Ale teraz, gdy okazało się, że twoja matka nadal żyje i wpadła w ręce nieprzyjaciół twoim piorytetem jest odnalezienie  i uratowanie jej.
mno_travel_s|Ruszaj.
menu_svenlair_victory_conquista|Po ciężkim boju twoim ludziom udaje się pokonać wikingów broniących kryjówki. Musisz zdecydować co z nią zrobisz.
menu_farmstead_sigurd|Jadąc zakurzonym traktem mijasz wysokie ogrodzenie za którym wzosi się kilka domostw. Wydaje się być dobrze prosperującym miejscem, domem bogatych mieszczan.^W miejscu gdzie się zatrzymujesz widzisz przechadzających się ludzi.Wszystko wydaje się być spokojne.
mno_enter_to_farmstead|Wejdź do gospodarstwa.
menu_farmstead_sigurd2|Niedługo potem zostajesz ostrzeżony o nadchodzącej grupie ludzi.Sytuacja na farma wydaje się być napięta, ale Egil mówi by się nie martwić bo goście mają ze sobą sztadar króla.^^Król Horik wysłał posiłki.
mno_talk_kingleader|Porozmawiaj z ich przywódcą.
menu_farmstead_sigurd3|Stwierdzasz, że gospodarstwo jest dobrym miejscem na spędzenie dnia z dala od niebezpieczeństw i trudnych decyzji na drodze. Przez chwilę marzysz, że gospodarstwo należy do ciebie, uprawiasz ziemię, rozporządzasz niewolnikami i każdego dnia poprawiasz stosunki z {s2}. Widzisz samego siebie siedzącego na ławce przed drzwiami, oglądającego zachód słońca... Czy tego właśnie chcesz? Czy jednak będzię to dla ciebie za dużo? Nieważne, wciąż masz wiele rzeczy do zrobienia zanim będziesz mógł myśleć o spokojnym życiu.^Na drugi dzień zwiadowca informuje cię o zbliżających się oddziałach. Są liczne i niosą przed sobą sztandar Sigurda Wężookiego. Bez rozkazu twoi ludzie chwytają za włócznie i przywdziewają pancerze ruszając następnie ku wejściu do gospodarstwa, gdzie tworzą mur tarcz.
mno_enter_to_battlefs|Ropocznij wymianę.
menu_farmstead_sigurd4|Spoglądasz na ludzi którzy przybyli. Jest ich dużo, może więcej jak sześćdziesięciu i są dobrze uzbrojeni. Popychają do przodu więźnia z workiem zalożonym na głowę...
mno_choice_01_sigur|Wejdź.
menu_hablar_olvir|Po brutalnej walce farma Ulfa zaścielona jest ciałami. Twoi ludzi przechodzą pomiędzy dobijając rannych i zabierając wszystko co ma wartość. Widzisz Egila który ściąga z obciętego trupowi palca złoty pierścień, a natępnie Brunhildę z przerażeniem obserwującą powstałą rzeź. Widzisz również Reginharda siedzącego i śmiejącego się nad ciałami. Ty sam nie wiesz jak się czujesz. Kiedyś ktoś powiedział, że wojna zmienia ludzi, że to demon pożerający duszę. Czy się zmieniłeś? Czy jesteś inny?^^Twoje myśli odchodzą w niepamięć, gdy dwóch żołnierzy kładzie u twych stóp Olvira. Wciąż żyje, ale już nie długo. Krew płynąca z jego ran jest nie do zatrzymania...
mno_talk_to_olvir|Porozmawiaj z Olvirem.
menu_doccinga_prisonerjoined|W trakcie podróży w twoim kierunku podąża znajoma postać. Parę metrów przez tobą kładzie swoją broń i pokazuje że nie jest uzbrojony. Ledwie go rozpoznajesz, ale to ten sam człowiek którego przesłuchiwano w Doccinga, kapitan wikingów któremu oszczędziłeś życie.
mno_talk_to_captain|Wysłuchaj co ma do powiedzenia.
menu_entregar_bodo|Dwóch ludzi Sigurda podążają za tobą po Bodo, który nie stawiając oporu stara się wyjaśnić sytuację. Podczas, gdy ludzie Sigurda wloką go za sobą on spogląda na ciebie ze łzami w oczach. Brunhilda i Reginhard wydają się nie być zadowoleni z twojego wyboru.
mno_talk_to_bodoentregado|Porozmawiaj z Bodo.
menu_arboleda_conrey|Podążasz za królem do pobliskiego lasu, z dala od wścibskich oczu i uszu.
mno_talk_to_reyhorik|Porozmawiaj King Horik.
